"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF","Mike Scott",3100,"WAS@POR 12/05/2017 10:00PM ET",13.225,"WAS","POR",8.38,8.4,23.75
"PF/C","Patrick Patterson",3100,"UTA@OKC 12/05/2017 08:00PM ET",6.409,"OKC","UTA",4.86,6.3,9.75
"SG/SF","CJ Wilcox",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"POR","WAS",0,0,0
"SG","Sheldon Mac",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS","POR",0,0,0
"SF/PF","Jake Layman",3000,"WAS@POR 12/05/2017 10:00PM ET",3.425,"POR","WAS",0,0,0
"PF","Mike Young",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS","POR",0,0,0
"SG","Devin Robinson",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS","POR",0,0,0
"PG/SG","Wade Baldwin IV",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"POR","WAS",0,0,0
"PF/C","Chris McCullough",3000,"WAS@POR 12/05/2017 10:00PM ET",6.75,"WAS","POR",0,0,0
"PF/C","Zach Collins",3000,"WAS@POR 12/05/2017 10:00PM ET",1.571,"POR","WAS",0,0,0
"PF/C","Nick Collison",3000,"UTA@OKC 12/05/2017 08:00PM ET",3.375,"OKC","UTA",0,0,0
"PF/C","Ekpe Udoh",3000,"UTA@OKC 12/05/2017 08:00PM ET",11.413,"UTA","OKC",4.55,0,0
"SG/SF","Kyle Singler",3000,"UTA@OKC 12/05/2017 08:00PM ET",2,"OKC","UTA",0,0,0
"PG","Nate Wolters",3000,"UTA@OKC 12/05/2017 08:00PM ET",1,"UTA","OKC",0,0,0
"SF/PF","Josh Huestis",3000,"UTA@OKC 12/05/2017 08:00PM ET",6.375,"OKC","UTA",11.27,8.4,0
"SF/PF","Eric Griffin",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"UTA","OKC",0,0,0
"SF","Royce O'Neale",3000,"UTA@OKC 12/05/2017 08:00PM ET",5.734,"UTA","OKC",7.32,10.3,2
"PG/SG","Dante Exum",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"UTA","OKC",0,0,0
"SF","Daniel Hamilton",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"PG/SG","PJ Dozier",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"C","Tony Bradley",3000,"UTA@OKC 12/05/2017 08:00PM ET",1.938,"UTA","OKC",0,0,0
"SG/SF","Terrance Ferguson",3000,"UTA@OKC 12/05/2017 08:00PM ET",1.946,"OKC","UTA",1.57,0,0
